fold,feature,train_spearman_rul,test_spearman_rul,abs_delta,sign_flip
holdout_bearing_4,bp_1k_5k_mean_bearing_min,-0.8340503572854511,-0.8508741034576323,0.016823746172181187,False
holdout_bearing_4,std_mean_bearing_max,-0.7632834705054573,-0.7608948385738048,0.0023886319316525073,False
holdout_bearing_4,peak_to_peak_mean_ema_10,-0.8936487145671667,-0.6658531501331526,0.22779556443401405,False
holdout_bearing_4,rms_mean_zscore,-0.7887778656237414,-0.7774268588527847,0.011351006770956684,False
holdout_bearing_4,kurtosis_mean_ema_10,-0.7037179852818358,-0.20910886801557613,0.49460911726625967,False
holdout_bearing_4,peak_to_peak_mean_bearing_min,-0.7992354835018737,-0.7061770096421365,0.0930584738597372,False
holdout_bearing_4,spec_centroid_mean_ema_30,0.31561199172291204,0.12474264496258537,0.19086934676032669,False
holdout_bearing_4,rms_mean,-0.7241774227170121,-0.7774268588527847,0.0532494361357726,False
holdout_bearing_4,bp_1k_5k_std_ema_10,-0.8617427924923594,-0.761410110691913,0.10033268180044641,False
holdout_bearing_4,bp_1k_5k_std_roll_10_std,-0.6656783114770717,-0.7166617414284517,0.050983429951380055,False
holdout_bearing_4,bp_1k_5k_std_roll_10_mean,-0.8335500810084968,-0.7595309638120449,0.07401911719645193,False
holdout_bearing_4,spec_centroid_std_zscore,0.32117018560815525,0.38692355877552953,0.06575337316737428,False
holdout_bearing_4,bp_1k_5k_std_bearing_min,-0.694423266800104,-0.7542397343291949,0.059816467529090867,False
holdout_bearing_4,bp_1k_5k_mean_roll_10_std,-0.7603265910527778,-0.7494911412910773,0.010835449761700477,False
holdout_bearing_4,bp_1k_5k_std_ema_30,-0.8042473545858211,-0.7572215554783808,0.047025799107440314,False
holdout_bearing_4,bp_1k_5k_std_roll_5_mean,-0.7956940272067577,-0.7565048368183597,0.039189190388398076,False
holdout_bearing_4,bp_1k_5k_mean_zscore,-0.8332973805751431,-0.8204700284008378,0.012827352174305306,False
holdout_bearing_4,bp_1k_5k_std_bearing_mean,-0.7173621357305561,-0.7526523708103011,0.03529023507974505,False
holdout_bearing_4,bp_1k_5k_std_roll_3_mean,-0.7585802877381418,-0.7518218428286292,0.0067584449095126065,False
holdout_bearing_4,peak_to_peak_mean_zscore,-0.7642233887239878,-0.6688833202162412,0.09534006850774657,False
holdout_bearing_4,bp_1k_5k_std_ema_50,-0.7608123783101054,-0.7515798317805839,0.009232546529521546,False
holdout_bearing_4,bp_1k_5k_mean_roll_5_std,-0.6620627618287009,-0.7144392715740953,0.05237650974539432,False
holdout_bearing_4,kurtosis_mean_bearing_range,-0.4705852872532831,0.08167998822200812,0.5522652754752913,True
holdout_bearing_4,bp_1k_5k_std_roll_5_std,-0.5754705183159469,-0.6539287208753186,0.07845820255937175,False
holdout_bearing_4,bp_1k_5k_std,-0.6604601733916653,-0.72900175428008,0.06854158088841467,False
holdout_bearing_4,spec_centroid_std_bearing_min,0.24683911028265665,0.648401711808102,0.4015626015254454,False
holdout_bearing_4,bp_1k_5k_std_bearing_max,-0.6919527622347941,-0.7397683128756422,0.04781555064084808,False
holdout_bearing_4,spec_centroid_std_ema_10,0.35399779947468196,0.45979944907200426,0.1058016495973223,False
holdout_bearing_4,spec_centroid_std_roll_10_mean,0.3421940730632135,0.4537750110151175,0.11158093795190405,False
holdout_bearing_4,spec_centroid_mean_zscore,0.5028112808710365,0.13763271125070745,0.36517856962032913,False
holdout_bearing_4,spec_centroid_std_bearing_mean,0.43025667500514025,0.669981696899538,0.23972502189439776,False
holdout_bearing_4,spec_centroid_std_ema_30,0.32212923442022184,0.4432501896750373,0.12112095525481548,False
holdout_bearing_4,spec_centroid_std_roll_5_mean,0.318757639628717,0.44060755444484,0.121849914816123,False
holdout_bearing_4,bp_1k_5k_mean_roll_3_std,-0.548266913130639,-0.6437782420683076,0.09551132893766856,False
holdout_bearing_4,peak_to_peak_mean_roll_10_std,-0.6901674255531397,-0.549602451424361,0.14056497412877866,False
holdout_bearing_4,peak_to_peak_mean_ema_30,-0.8714317409604865,-0.6669447546271133,0.20448698633337314,False
holdout_bearing_4,peak_to_peak_mean_roll_5_mean,-0.8670223934611415,-0.667478985138438,0.19954340832270356,False
holdout_bearing_4,peak_to_peak_mean_ema_50,-0.8466074901040754,-0.6686203218359965,0.17798716826807892,False
holdout_bearing_4,peak_to_peak_mean_roll_3_mean,-0.8450251369740298,-0.6687839305141787,0.17624120645985109,False
holdout_bearing_4,peak_to_peak_mean,-0.7676812315723776,-0.6688833202162412,0.09879791135613636,False
holdout_bearing_4,skew_mean_bearing_min,0.20106917569999974,-0.008513042832243762,0.2095822185322435,True
holdout_bearing_4,peak_to_peak_mean_bearing_max,-0.7924264503537127,-0.6398599316035118,0.15256651875020089,False
holdout_bearing_4,spec_centroid_std_roll_3_mean,0.3003143426301371,0.42727161754815646,0.12695727491801934,False
holdout_bearing_4,spec_centroid_std_ema_50,0.2998703390493885,0.42738772769951,0.12751738865012152,False
holdout_bearing_4,spec_centroid_mean_bearing_range,0.4070072801398258,0.9011245770681752,0.4941172969283494,False
holdout_bearing_4,peak_to_peak_std_roll_10_std,-0.6239494289571977,-0.5136153254904663,0.11033410346673145,False
holdout_bearing_4,bp_1k_5k_std_roll_3_std,-0.48151119625649846,-0.5561447814566429,0.07463358520014446,False
holdout_bearing_4,crest_factor_mean_bearing_max,-0.6273546531901713,-0.4972224018138615,0.13013225137630974,False
holdout_bearing_4,spec_centroid_std_bearing_max,0.44240927826147053,0.5402390649531216,0.09782978669165104,False
